Age,Height,Performance,Decision
19,160,31,0
21,162,79,0
24,177,17,0
27,188,31,0
22,160,53,0
22,158,56,1
26,182,48,1
28,200,25,0
24,156,52,1
19,179,47,1
23,157,13,0
27,167,61,1
29,192,37,0
27,181,65,0
19,185,49,0
18,161,82,1
21,173,73,0
20,171,46,1
27,166,30,0
29,192,42,0
25,166,84,1
22,168,13,0
18,199,89,1
29,183,44,0
18,164,1,0
23,154,98,1
30,184,94,1
26,196,72,1
22,194,93,1
25,180,41,0
29,183,98,1
21,190,14,0
22,165,13,0
27,167,68,0
30,191,31,0
19,150,19,0
19,194,54,0
23,158,8,0
30,164,69,1
20,156,13,0
21,160,58,1
24,199,40,1
30,153,69,1
23,153,23,1
28,160,43,1
18,197,81,1
22,168,10,0
18,183,79,1
27,180,67,0
18,155,38,1
24,173,76,0
30,151,66,0
18,186,40,0
30,172,19,0
22,186,83,1
30,169,61,0
22,165,70,1
27,188,75,0
27,179,78,0
27,154,66,0
22,182,23,1
18,162,15,0
26,163,21,0
20,199,53,0
30,198,3,0
25,158,71,0
26,181,35,0
19,197,96,1
18,199,99,1
29,151,2,0
30,183,53,0
27,193,98,1
24,198,40,0
25,194,75,0
28,193,56,0
26,194,72,1
24,194,12,0
30,152,32,0
24,187,54,0
18,192,55,0
24,189,71,1
30,187,85,1
18,189,98,1
21,194,24,1
18,197,33,0
19,184,46,0
23,167,66,1
19,192,88,1
27,175,33,0
23,183,39,1
30,182,33,0
26,169,37,0
29,157,74,1
28,171,80,0
30,167,7,0
23,158,22,1
24,165,99,1
26,158,46,1
23,184,96,1
19,155,90,1
28,166,34,0
20,179,52,0
20,178,65,1
25,177,44,1
25,165,70,1
21,188,8,0
27,162,74,0
18,192,56,1
30,165,6,0
26,168,86,0
24,151,38,0
18,158,10,0
24,173,47,0
29,150,52,1
28,190,36,0
30,183,49,0
27,153,26,0
27,174,92,1
28,166,36,0
23,184,32,1
18,184,68,1
20,166,71,0
22,191,95,1
25,175,95,1
24,160,21,0
29,161,89,0
28,181,37,0
30,188,11,0
26,185,55,0
21,181,95,1
21,159,54,1
30,183,85,0
29,196,78,0
27,159,7,0
22,163,92,1
19,198,55,0
25,177,43,1
28,151,56,0
25,154,49,0
30,180,31,0
28,185,15,0
28,192,82,0
26,193,36,0
19,158,34,1
30,150,11,0
22,153,64,0
26,191,95,1
28,184,67,0
30,163,93,1
20,188,51,1
27,198,52,0
26,192,82,0
29,155,3,0
29,179,100,1
26,177,71,0
20,181,80,1
24,155,46,1
26,198,70,1
26,178,6,0
20,185,90,1
25,182,17,0
18,188,84,1
30,189,69,1
19,168,7,0
24,186,19,0
27,157,8,0
30,158,91,1
29,198,36,0
24,197,59,1
20,154,16,0
21,182,34,1
27,195,15,0
21,193,24,1
22,180,60,0
22,183,77,1
25,158,59,0
25,173,15,0
25,151,14,0
25,199,25,1
25,191,70,1
24,156,18,0
25,170,31,1
27,181,26,0
25,163,90,1
24,190,18,0
18,166,99,1
20,193,65,1
26,195,83,0
19,163,48,1
26,180,59,1
22,163,56,1
18,166,47,0
30,151,96,1
20,161,62,0
23,193,78,1
25,163,53,0
20,175,98,1
29,181,43,1
29,175,94,1
18,197,31,0
24,173,41,0
21,199,47,0
30,175,4,0
19,185,13,0
28,182,95,1
24,162,14,0
26,170,72,1
19,181,45,1
24,189,82,1
28,178,81,1
26,156,24,0
21,186,34,0
24,184,82,1
24,194,55,0
21,183,64,0
18,163,68,1
27,195,35,0
24,153,77,1
24,182,36,0
26,183,44,1
29,163,74,1
28,177,78,1
23,179,6,0
18,193,97,1
23,162,69,1
23,189,79,1
22,158,38,0
28,196,60,1
29,170,70,0
22,170,37,1
29,167,84,0
27,169,19,0
26,184,30,0
22,169,90,1
28,199,21,0
20,177,1,0
24,194,68,1
20,185,11,0
21,200,87,1
22,179,54,0
21,152,10,0
24,152,73,1
29,159,48,1
28,184,80,1
20,152,4,0
22,193,57,1
28,192,97,1
29,171,71,1
23,153,58,1
18,166,53,0
23,167,14,0
18,166,86,0
30,166,42,0
26,171,89,0
29,152,75,0
24,178,65,0
23,151,41,0
25,167,33,1
24,183,12,0
26,153,38,0
24,164,32,1
28,161,1,0
24,185,23,0
20,188,77,1
27,152,44,0
20,185,24,0
24,179,28,1
25,154,69,1
21,160,87,1
18,188,41,1
29,198,83,0
24,200,5,0
22,183,11,0
20,196,39,0
19,198,98,1
27,169,20,0
23,173,46,0
28,181,29,0
23,195,12,0
22,166,99,1
29,192,46,1
19,186,37,0
24,189,5,0
29,151,24,0
18,153,62,0
25,176,14,0
24,185,37,1
21,189,54,0
27,177,11,0
27,174,14,0
25,191,18,0
30,181,2,0
24,170,51,1
26,176,33,0
26,199,50,0
21,159,65,1
24,197,18,0
21,193,29,0
18,195,21,1
18,190,94,1
18,195,50,0
26,178,59,0
19,173,34,0
26,200,15,0
30,161,56,0
26,170,63,0
22,168,46,0
26,192,3,0
22,197,20,1
28,170,46,1
19,158,28,1
21,178,53,1
22,160,51,1
22,187,28,1
29,199,85,1
20,186,65,0
26,176,60,0
23,176,8,0
19,155,21,1
18,169,60,0
27,183,64,0
22,189,91,1
23,155,62,0
21,164,59,1
18,199,83,1
20,168,50,0
22,184,65,0
22,157,51,1
28,164,86,1
24,173,16,0
20,195,18,0
26,176,56,1
22,161,6,0
19,150,75,0
19,164,89,1
22,180,55,1
18,150,31,1
29,197,71,1
19,176,54,0
29,154,50,0
25,159,31,1
24,154,8,0
18,156,39,1
20,181,40,1
27,188,14,0
25,180,39,1
21,153,36,1
18,180,30,0
20,178,42,0
24,168,5,0
18,160,48,1
29,185,19,0
22,162,72,0
21,196,69,0
21,161,59,1
21,175,59,1
22,158,66,1
19,184,44,0
26,168,22,0
25,174,29,1
19,170,73,0
19,179,92,1
20,159,64,1
26,154,46,1
27,187,84,1
